epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12.1449,0.38655,0.44721,0.9789,0.92159,0.58288,0.9225,0.75592,0.78838,1.12682,1.4089,0.000125935,0.000125935,0.000125935
41,12.4252,0.98354,0.62861,1.38752,0.92178,0.58173,0.92348,0.75683,0.80392,1.18702,1.4171,0.000127082,0.000127082,0.000127082
42,12.6955,1.00109,0.70002,1.69598,0.92178,0.58173,0.92348,0.75683,0.80392,1.18702,1.4171,0.000128124,0.000128124,0.000128124
43,12.9655,0.415,0.37866,0.99425,0.92199,0.58102,0.92348,0.74341,0.81581,1.23672,1.41773,0.000129061,0.000129061,0.000129061
44,13.2216,1.02625,0.76921,1.60477,0.92199,0.58102,0.92348,0.74341,0.81581,1.23672,1.41773,0.000129895,0.000129895,0.000129895
45,13.5951,0.80225,0.56015,1.06283,0.92189,0.57957,0.92348,0.75683,0.81334,1.30761,1.4065,0.000130625,0.000130625,0.000130625
46,13.8508,0.48281,0.44918,1.02634,0.92189,0.57957,0.92348,0.75683,0.81334,1.30761,1.4065,0.00013125,0.00013125,0.00013125
47,14.1482,0.50152,0.59389,1.20303,0.92211,0.57903,0.92348,0.75683,0.82627,1.42487,1.40603,0.000131771,0.000131771,0.000131771
48,14.4127,0.71162,0.48314,1.19823,0.92211,0.57903,0.92348,0.75683,0.82627,1.42487,1.40603,0.000132189,0.000132189,0.000132189
49,14.6903,0.77574,0.47397,1.77679,0.97909,0.5,0.90265,0.74527,0.82954,1.536,1.41714,0.000132502,0.000132502,0.000132502
50,15.0206,0.77237,0.5034,1.13583,0.97909,0.5,0.90265,0.74527,0.82954,1.536,1.41714,0.00013271,0.00013271,0.00013271
51,15.3018,0.81279,0.50672,1.55038,0.97957,0.5,0.88182,0.7286,0.8275,1.57319,1.43451,0.000132815,0.000132815,0.000132815
52,15.5654,0.85294,0.5405,1.29482,0.97957,0.5,0.88182,0.7286,0.8275,1.57319,1.43451,0.000132816,0.000132816,0.000132816
53,15.8224,0.496,0.47621,1.08227,0.97957,0.5,0.88182,0.7286,0.8275,1.57319,1.43451,0.000132712,0.000132712,0.000132712
54,16.0957,0.57755,0.44057,1.39536,0.98114,0.5,0.86911,0.71844,0.78238,1.61525,1.43142,0.000132504,0.000132504,0.000132504
55,16.3642,0.94425,0.6546,1.46513,0.98114,0.5,0.86911,0.71844,0.78238,1.61525,1.43142,0.000132192,0.000132192,0.000132192
